0,2.2444,1.444,0.34016
0.01,2.2444,1.444,0.34016
0.02,2.2473,1.445,0.34118
0.03,2.2593,1.4514,0.34368
0.04,2.2804,1.4632,0.3477
0.05,2.3109,1.4806,0.35334
0.06,2.3512,1.5034,0.36073
0.07,2.4015,1.5319,0.37004
0.08,2.4625,1.566,0.38149
0.09,2.5347,1.6059,0.39531
0.1,2.6187,1.6515,0.41177
0.11,2.7151,1.703,0.43114
0.12,2.8245,1.7602,0.45372
0.13,2.9475,1.8232,0.47978
0.14,3.0846,1.8916,0.5096
0.15,3.2361,1.9653,0.54345
0.16,3.4022,2.0436,0.58157
0.17,3.5829,2.1261,0.62414
0.18,3.7781,2.2118,0.67133
0.19,3.9871,2.2996,0.72326
0.2,4.209,2.3882,0.77999
0.21,4.4426,2.4758,0.8415
0.22,4.6859,2.5601,0.90774
0.23,4.9367,2.6386,0.97853
0.24,5.1916,2.7082,1.0537
0.25,5.4468,2.7652,1.1328
0.26,5.6973,2.8053,1.2156
0.27,5.9371,2.8238,1.3016
0.28,6.1591,2.8152,1.3904
0.29,6.3548,2.774,1.4815
0.3,6.5144,2.694,1.5747
0.31,6.6269,2.5696,1.6701
0.32,6.6805,2.3956,1.7683
0.33,6.6627,2.1681,1.8706
0.34,6.5617,1.8853,1.9796
0.35,6.3669,1.5486,2.0992
0.36,6.0716,1.163,2.2348
0.37,5.674,0.73846,2.3939
0.38,5.1805,0.28966,2.5851
0.39,4.6081,-0.16424,2.8185
